reference_id,source_id,population_type,population,context,monitor,year,club,metric_native,metric,value,source_unit,canonical_value,canonical_unit,value_type,confidence,citation_urls,notes
1f2dbfb2ba2e0711dfe1a64d,trackman_tour_averages_classic,tour_average,pga_tour,classic_data_sheet,TrackMan,2010,Driver,club speed,club_speed,113.0,mph,50.51552,m/s,group_mean,cross_verified,https://teeituprva.com/wp-content/uploads/2019/03/PGA-AVERAGES-INTERACTIVE.pdf;http://3jack.blogspot.com/2010/02/trackman-pga-lpga-tour-averages.html;https://hititlonger.com/trackman-data-pga-tour-averages/,
764208b4ff4786d5fe442fab,trackman_tour_averages_classic,tour_average,pga_tour,classic_data_sheet,TrackMan,2010,Driver,attack angle,attack_angle,-1.3,deg,-0.022689280275926284,rad,group_mean,cross_verified,https://teeituprva.com/wp-content/uploads/2019/03/PGA-AVERAGES-INTERACTIVE.pdf;http://3jack.blogspot.com/2010/02/trackman-pga-lpga-tour-averages.html;https://hititlonger.com/trackman-data-pga-tour-averages/,
7deaedb436d4d436ccd1688d,trackman_tour_averages_classic,tour_average,pga_tour,classic_data_sheet,TrackMan,2010,Driver,ball speed,ball_speed,167.0,mph,74.65568,m/s,group_mean,cross_verified,https://teeituprva.com/wp-content/uploads/2019/03/PGA-AVERAGES-INTERACTIVE.pdf;http://3jack.blogspot.com/2010/02/trackman-pga-lpga-tour-averages.html;https://hititlonger.com/trackman-data-pga-tour-averages/,
8d2467785a2d148a3b69bcfd,trackman_tour_averages_classic,tour_average,pga_tour,classic_data_sheet,TrackMan,2010,Driver,smash factor,smash_factor,1.48,1,1.48,1,group_mean,cross_verified,https://teeituprva.com/wp-content/uploads/2019/03/PGA-AVERAGES-INTERACTIVE.pdf;http://3jack.blogspot.com/2010/02/trackman-pga-lpga-tour-averages.html;https://hititlonger.com/trackman-data-pga-tour-averages/,
efe4eb7e0b4e0e8cd58c34b4,trackman_tour_averages_classic,tour_average,pga_tour,classic_data_sheet,TrackMan,2010,Driver,launch angle,launch_angle,10.9,deg,0.19024088846738194,rad,group_mean,cross_verified,https://teeituprva.com/wp-content/uploads/2019/03/PGA-AVERAGES-INTERACTIVE.pdf;http://3jack.blogspot.com/2010/02/trackman-pga-lpga-tour-averages.html;https://hititlonger.com/trackman-data-pga-tour-averages/,
6b71d3457e9b5bdd02b29fef,trackman_tour_averages_classic,tour_average,pga_tour,classic_data_sheet,TrackMan,2010,Driver,spin rate,spin_rate,2686.0,rpm,281.2772622514061,rad/s,group_mean,cross_verified,https://teeituprva.com/wp-content/uploads/2019/03/PGA-AVERAGES-INTERACTIVE.pdf;http://3jack.blogspot.com/2010/02/trackman-pga-lpga-tour-averages.html;https://hititlonger.com/trackman-data-pga-tour-averages/,
8fb57b83f772c1b0fb6e8823,trackman_tour_averages_classic,tour_average,pga_tour,classic_data_sheet,TrackMan,2010,Driver,max height,apex_height,32.0,yd,29.2608,m,group_mean,cross_verified,https://teeituprva.com/wp-content/uploads/2019/03/PGA-AVERAGES-INTERACTIVE.pdf;http://3jack.blogspot.com/2010/02/trackman-pga-lpga-tour-averages.html;https://hititlonger.com/trackman-data-pga-tour-averages/,
4b4df737f5b06733b2453f63,trackman_tour_averages_classic,tour_average,pga_tour,classic_data_sheet,TrackMan,2010,Driver,land angle,descent_angle,38.0,deg,0.6632251157578453,rad,group_mean,cross_verified,https://teeituprva.com/wp-content/uploads/2019/03/PGA-AVERAGES-INTERACTIVE.pdf;http://3jack.blogspot.com/2010/02/trackman-pga-lpga-tour-averages.html;https://hititlonger.com/trackman-data-pga-tour-averages/,
3e3e1473ec65be7d71f1f75f,trackman_tour_averages_classic,tour_average,pga_tour,classic_data_sheet,TrackMan,2010,Driver,carry,carry_distance,275.0,yd,251.46,m,group_mean,cross_verified,https://teeituprva.com/wp-content/uploads/2019/03/PGA-AVERAGES-INTERACTIVE.pdf;http://3jack.blogspot.com/2010/02/trackman-pga-lpga-tour-averages.html;https://hititlonger.com/trackman-data-pga-tour-averages/,
510cf376eb917273be23e54e,trackman_tour_averages_classic,tour_average,pga_tour,classic_data_sheet,TrackMan,2010,3-wood,club speed,club_speed,107.0,mph,47.83328,m/s,group_mean,cross_verified,https://teeituprva.com/wp-content/uploads/2019/03/PGA-AVERAGES-INTERACTIVE.pdf;http://3jack.blogspot.com/2010/02/trackman-pga-lpga-tour-averages.html;https://hititlonger.com/trackman-data-pga-tour-averages/,
a7296f6373f105300cb337de,trackman_tour_averages_classic,tour_average,pga_tour,classic_data_sheet,TrackMan,2010,3-wood,attack angle,attack_angle,-2.9,deg,-0.05061454830783556,rad,group_mean,cross_verified,https://teeituprva.com/wp-content/uploads/2019/03/PGA-AVERAGES-INTERACTIVE.pdf;http://3jack.blogspot.com/2010/02/trackman-pga-lpga-tour-averages.html;https://hititlonger.com/trackman-data-pga-tour-averages/,
8f83ad6f20dfb12e1d7e3d4a,trackman_tour_averages_classic,tour_average,pga_tour,classic_data_sheet,TrackMan,2010,3-wood,ball speed,ball_speed,158.0,mph,70.63231999999999,m/s,group_mean,cross_verified,https://teeituprva.com/wp-content/uploads/2019/03/PGA-AVERAGES-INTERACTIVE.pdf;http://3jack.blogspot.com/2010/02/trackman-pga-lpga-tour-averages.html;https://hititlonger.com/trackman-data-pga-tour-averages/,
c96dea9cfe68c792e7bf9644,trackman_tour_averages_classic,tour_average,pga_tour,classic_data_sheet,TrackMan,2010,3-wood,smash factor,smash_factor,1.48,1,1.48,1,group_mean,cross_verified,https://teeituprva.com/wp-content/uploads/2019/03/PGA-AVERAGES-INTERACTIVE.pdf;http://3jack.blogspot.com/2010/02/trackman-pga-lpga-tour-averages.html;https://hititlonger.com/trackman-data-pga-tour-averages/,
8310cb381637032499879af0,trackman_tour_averages_classic,tour_average,pga_tour,classic_data_sheet,TrackMan,2010,3-wood,launch angle,launch_angle,9.2,deg,0.16057029118347832,rad,group_mean,cross_verified,https://teeituprva.com/wp-content/uploads/2019/03/PGA-AVERAGES-INTERACTIVE.pdf;http://3jack.blogspot.com/2010/02/trackman-pga-lpga-tour-averages.html;https://hititlonger.com/trackman-data-pga-tour-averages/,
acdee5ac0fd9f55b646fa9e1,trackman_tour_averages_classic,tour_average,pga_tour,classic_data_sheet,TrackMan,2010,3-wood,spin rate,spin_rate,3655.0,rpm,382.75070496235645,rad/s,group_mean,cross_verified,https://teeituprva.com/wp-content/uploads/2019/03/PGA-AVERAGES-INTERACTIVE.pdf;http://3jack.blogspot.com/2010/02/trackman-pga-lpga-tour-averages.html;https://hititlonger.com/trackman-data-pga-tour-averages/,
